turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,surprise,neutral
0,2026-05-20 18:15,Аня,"Слушай, я посмотрела черновик демо. В целом оно прям живое.",0.321429,0.348214,0.022321,0.013393,0.080357,0.089286,0.125
1,2026-05-20 18:18,Илья,"Класс. Я боялся, что график будет выглядеть слишком игрушечно.",0.219512,0.234146,0.039024,0.029268,0.273171,0.087805,0.117073
2,2026-05-20 18:21,Марина,"Игрушечно не выглядит, но переходы между темами пока резкие.",0.1,0.188889,0.122222,0.088889,0.233333,0.055556,0.211111
3,2026-05-20 18:24,Илья,"Да, там чанки идут подряд без сглаживания. Добавлю окно.",0.159091,0.204545,0.056818,0.045455,0.215909,0.045455,0.272727
4,2026-05-20 18:27,Аня,"Окно поможет. Еще хорошо бы видеть, кто именно тянет тревожность вверх.",0.118919,0.281081,0.064865,0.027027,0.248649,0.064865,0.194595
5,2026-05-20 18:30,Марина,Вот это важно. Иначе в групповом режиме все смешивается.,0.068182,0.147727,0.102273,0.193182,0.25,0.056818,0.181818
6,2026-05-20 18:33,Илья,"Согласен, сделаю фильтр по отправителям и общий режим.",0.215909,0.295455,0.034091,0.022727,0.136364,0.045455,0.25
7,2026-05-20 18:36,Аня,"Спасибо. Мне нравится, что можно будет объяснить динамику, а не один лейбл.",0.354545,0.372727,0.018182,0.009091,0.063636,0.072727,0.109091
8,2026-05-20 18:39,Марина,Но давайте не перегрузим интерфейс. Нужен спокойный первый экран.,0.101695,0.214689,0.056497,0.067797,0.19209,0.039548,0.327684
9,2026-05-20 18:42,Илья,Сделаю две колонки: график и сообщения. Детали только при наведении.,0.2,0.258824,0.035294,0.023529,0.117647,0.035294,0.329412
10,2026-05-20 18:45,Марина,"Да, так лучше. Только цвета должны отличаться, иначе семь линий сольются.",0.120482,0.204819,0.060241,0.108434,0.192771,0.060241,0.253012
11,2026-05-20 18:48,Аня,"Можно joy сделать желтым, warmth зеленым, anxiety фиолетовым, surprise розовым.",0.293839,0.322275,0.018957,0.014218,0.085308,0.104265,0.161137
12,2026-05-20 18:51,Илья,Записал. Для синтетики еще сделаю небольшой конфликт в середине.,0.174419,0.186047,0.046512,0.093023,0.174419,0.05814,0.267442
13,2026-05-20 18:54,Марина,"Конфликт нужен, но без драмы. Нам надо показать трекинг, не сериал.",0.069767,0.139535,0.116279,0.244186,0.209302,0.05814,0.162791
14,2026-05-20 18:57,Аня,"Справедливо. Пусть потом видно, как тон возвращается к норме.",0.181818,0.292929,0.060606,0.040404,0.121212,0.070707,0.232323
15,2026-05-20 19:00,Илья,Тогда после спорного места добавлю пару примиряющих сообщений.,0.229167,0.34375,0.03125,0.020833,0.09375,0.052083,0.229167
16,2026-05-20 19:03,Марина,Звучит хорошо. Я бы еще оставила нейтральность как отдельную линию.,0.154696,0.265193,0.044199,0.027624,0.099448,0.044199,0.364641
17,2026-05-20 19:06,Аня,"Да, она покажет, когда разговор становится рабочим и спокойным.",0.238095,0.333333,0.019048,0.009524,0.057143,0.038095,0.304762
18,2026-05-20 19:09,Илья,Супер. Соберу v1 и прогоню тесты.,0.338164,0.299517,0.014493,0.009662,0.086957,0.048309,0.202899
19,2026-05-20 19:12,Марина,"Жду. Если оно открывается на Spaces без танцев, уже победа.",0.275862,0.26601,0.024631,0.019704,0.108374,0.08867,0.216749
